FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,
Participant 775,Participant 775,Wanita,30/04/1997,85000000775,Visual - Makeup,Bali,Yes,Yes,No,Yes,No,Yes,,,,
Participant 797,Participant 797,Wanita,27/03/1994,85000000797,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 803,Participant 803,Wanita,30/03/1981,85000000803,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 840,Participant 840,Wanita,03/04/1982,85000000840,Visual - Makeup,Salatiga,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 52,Participant 52,Wanita,14/08/1983,85000000052,Vocal - Lead,Ngawi,Yes,No,Yes,Yes,Yes,No,,,,
Participant 53,Participant 53,Wanita,13/01/1998,85000000053,Vocal - Lead,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 142,Participant 142,Wanita,18/06/1987,85000000142,Vocal - Lead,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 158,Participant 158,Wanita,23/03/1980,85000000158,Vocal - Lead,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 185,Participant 185,Wanita,23/04/1989,85000000185,Vocal - Lead,Solo,Yes,No,No,No,No,Yes,,,,
Participant 218,Participant 218,Wanita,13/06/1978,85000000218,Vocal - Lead,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 244,Participant 244,Wanita,21/03/1987,85000000244,Vocal - Lead,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 253,Participant 253,Wanita,22/10/1983,85000000253,Vocal - Lead,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 255,Participant 255,Wanita,29/08/1988,85000000255,Vocal - Lead,Pekalongan,No,No,No,No,No,Yes,,,,
Participant 261,Participant 261,Wanita,07/11/1986,85000000261,Vocal - Lead,Semarang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 270,Participant 270,Wanita,22/08/1979,85000000270,Vocal - Lead,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 273,Participant 273,Wanita,20/08/1994,85000000273,Vocal - Lead,Surabaya,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 288,Participant 288,Wanita,03/09/1976,85000000288,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 309,Participant 309,Pria,20/06/1995,85000000309,Vocal - Lead,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 319,participant 319,Wanita,20/10/1976,85000000319,Vocal - Lead,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 333,Participant 333,Wanita,07/01/1968,85000000333,Vocal - Lead,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 356,Participant 356,Wanita,04/02/1976,85000000356,Vocal - Lead,Boyolali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 130,Participant 130,Wanita,30/09/1976,85000000130,Vocal - Lead,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 452,Participant 452,Wanita,28/05/1991,85000000452,Vocal - Lead,Solo,Yes,No,Yes,No,No,Yes,,,,
Participant 456,Participant 456,Pria,11/01/1998,85000000456,Vocal - Lead,Jakarta,Yes,No,No,Yes,Yes,Yes,,,,
Participant 476,Participant 476,Wanita,29/11/1970,85000000476,Vocal - Lead,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 503,Participant 503,Pria,02/05/1993,85000000503,Vocal - Lead,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 514,Participant 514,Wanita,12/09/1973,85000000514,Vocal - Lead,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 515,Participant 515,Wanita,09/09/2003,85000000515,Vocal - Lead,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 529,Participant 529,Wanita,25/03/1998,85000000529,Vocal - Lead,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 548,Participant 548,Wanita,06/05/1975,85000000548,Vocal - Lead,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 563,Participant 563,Wanita,26/11/1998,85000000563,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 636,Participant 636,Wanita,31/03/1986,85000000636,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 650,Participant 650,Wanita,15/02/2004,85000000650,Vocal - Lead,Surabaya,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 669,Participant 669,Wanita,27/12/1988,85000000669,Vocal - Lead,Jakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 692,Participant 692,Wanita,15/03/2003,85000000692,Vocal - Lead,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 694,Participant 694,Wanita,17/01/1999,85000000694,Vocal - Lead,Surabaya,Yes,Yes,No,No,Yes,No,,,,
Participant 799,Participant 799,Wanita,04/07/1999,85000000799,Vocal - Lead,Bali,Yes,Yes,No,No,No,Yes,,,,
Participant 833,Participant 833,Wanita,29/01/1998,85000000833,Vocal - Lead,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 54,Participant 54,Wanita,22/08/1995,85000000054,Vocal - Choir,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 55,Participant 55,Wanita,05/02/1998,85000000055,Vocal - Choir,Solo,Yes,Yes,Yes,No,No,No,,,,
Participant 56,Participant 56,Wanita,18/06/2001,85000000056,Vocal - Choir,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 57,Participant 57,Wanita,08/08/2001,85000000057,Vocal - Choir,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 58,Participant 58,Wanita,16/10/2002,85000000058,Vocal - Choir,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 126,Participant 126,Wanita,19/07/1971,85000000126,Vocal - Choir,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 129,Participant 129,Wanita,03/06/1974,85000000129,Vocal - Choir,Nias,No,Yes,Yes,Yes,Yes,No,,,,
Participant 182,Participant 182,Wanita,12/10/1977,85000000182,Vocal - Choir,Nias,Yes,Yes,No,No,No,Yes,,,,
Participant 189,Participant 189,Wanita,16/07/1976,85000000189,Vocal - Choir,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 195,Participant 195,Wanita,04/10/1966,85000000195,Vocal - Choir,Nias,Yes,Yes,Yes,No,No,Yes,,,,
Participant 209,Participant 209,Pria,05/07/1987,85000000209,Vocal - Choir,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 213,Participant 213,Wanita,16/03/2004,85000000213,Vocal - Choir,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 300,Participant 300,Pria,19/10/1971,85000000300,Vocal - Choir,Samarinda,Yes,No,Yes,No,No,Yes,,,,
Participant 301,Participant 301,Wanita,14/02/1974,85000000301,Vocal - Choir,Samarinda,Yes,Yes,Yes,No,No,Yes,,,,
Participant 320,Participant 320,Wanita,31/05/1980,85000000320,Vocal - Choir,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 416,Participant 416,Wanita,06/09/1974,85000000416,Vocal - Choir,Jakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 501,Participant 501,Wanita,12/09/1982,85000000501,Vocal - Choir,Madiun,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2554,Participant 2554,Wanita,01/05/1969,85000002554,Vocal - Choir,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 512,Participant 512,Wanita,22/12/2000,85000000512,Vocal - Choir,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 517,Participant 517,Wanita,19/02/2004,85000000517,Vocal - Choir,Solo,Yes,No,Yes,Yes,Yes,No,,,,
Participant 521,Participant 521,Pria,24/06/1975,85000000521,Vocal - Choir,Solo,Yes,No,No,Yes,Yes,Yes,,,,
Participant 556,Participant 556,Wanita,06/05/1997,85000000556,Vocal - Choir,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 584,Participant 584,Wanita,14/02/1990,85000000584,Vocal - Choir,Solo,No,No,Yes,Yes,Yes,Yes,,,,
Participant 603,Participant 603,Wanita,08/01/2004,85000000603,Vocal - Choir,Solo,Yes,Yes,No,Yes,Yes,No,,,,
Participant 628,Participant 628,Wanita,12/09/1998,85000000628,Vocal - Choir,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 146,Participant 146,Wanita,03/11/2000,85000000146,Vocal - Choir,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 760,Participant 760,Wanita,14/09/2000,85000000760,Vocal - Choir,Solo,Yes,Yes,No,No,Yes,Yes,,,,
Participant 778,Participant 778,Wanita,02/11/2002,85000000778,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 804,Participant 804,Pria,16/07/1994,85000000804,Vocal - Choir,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 834,Participant 834,Wanita,14/08/2001,85000000834,Vocal - Choir,Bali,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 59,Participant 59,Pria,08/01/1993,85000000059,Vocal - Singer,Ngawi,Yes,No,No,Yes,Yes,Yes,,,,
Participant 60,Participant 60,Pria,10/03/1985,85000000060,Vocal - Singer,Solo,Yes,No,Yes,No,No,Yes,,,,
Participant 61,Participant 61,Pria,22/05/2002,85000000061,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 62,Participant 62,Pria,28/07/1992,85000000062,Vocal - Singer,Solo,No,Yes,No,Yes,Yes,Yes,,,,
Participant 63,Participant 63,Wanita,20/01/1975,85000000063,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 65,Participant 65,Wanita,04/10/1998,85000000065,Vocal - Singer,Solo ,No,No,Yes,Yes,Yes,Yes,,,,
Participant 64,Participant 64,Wanita,06/09/2002,85000000064,Vocal - Singer,Solo ,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 66,PARTICIPANT 66,Wanita,06/02/1997,85000000066,Vocal - Singer,Solo ,No,Yes,Yes,Yes,Yes,No,,,,
Participant 67,Participant 67,Wanita,29/08/1995,85000000067,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 69,Participant 69,Pria,04/06/1996,85000000069,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 70,Participant 70,Wanita,19/09/1994,85000000070,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 71,Participant 71,Wanita,09/11/1999,85000000071,Vocal - Singer,Semarang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 72,Participant 72,Pria,14/01/1995,85000000072,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 73,Participant 73,Wanita,13/03/1995,85000000073,Vocal - Singer,Bandung,Yes,Yes,Yes,No,No,Yes,,,,
Participant 74,Participant 74,Wanita,08/08/1991,85000000074,Vocal - Singer,Solo,No,Yes,Yes,No,No,Yes,,,,
Participant 75,Participant 75,Wanita,19/05/1998,85000000075,Vocal - Singer,Solo,Yes,No,Yes,No,No,No,,,,
PARTICIPANT 76,PARTICIPANT 76,Wanita,31/03/1995,85000000076,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 78,Participant 78,Wanita,24/10/1976,85000000078,Vocal - Singer,Jakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 80,Participant 80,Wanita,15/01/1996,85000000080,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 81,Participant 81,Wanita,04/10/1996,85000000081,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 83,Participant 83,Wanita,07/03/1995,85000000083,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 84,Participant 84,Wanita,24/12/1994,85000000084,Vocal - Singer,Surabaya,No,Yes,Yes,No,No,Yes,,,,
participant 85,participant 85,Wanita,10/03/1990,85000000085,Vocal - Singer,Nias,No,Yes,No,No,No,Yes,,,,
Participant 88,Participant 88,Pria,30/01/1986,85000000088,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 90,Participant 90,Wanita,04/04/1999,85000000090,Vocal - Singer,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 91,PARTICIPANT 91,Pria,18/04/2000,85000000091,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 95,Participant 95,Wanita,27/12/1999,85000000095,Vocal - Singer,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 107,Participant 107,Pria,25/03/1982,85000000107,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 108,Participant 108,Wanita,24/08/1999,85000000108,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 110,Participant 110,Wanita,08/07/1999,85000000110,Vocal - Singer,Solo ,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 111,Participant 111,Wanita,13/11/1993,85000000111,Vocal - Singer,Ngawi,No,Yes,Yes,Yes,Yes,No,,,,
Participant 117,Participant 117,Pria,08/07/1999,85000000117,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 121,Participant 121,Wanita,26/01/2000,85000000121,Vocal - Singer,Nias,Yes,Yes,Yes,No,No,Yes,,,,
Participant 124,Participant 124,Wanita,27/12/1988,85000000124,Vocal - Singer,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 127,Participant 127,Pria,27/09/1997,85000000127,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 134,Participant 134,Wanita,30/12/1981,85000000134,Vocal - Singer,Nias,Yes,No,No,Yes,Yes,No,,,,
Participant 135,Participant 135,Wanita,18/03/1996,85000000135,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 140,Participant 140,Wanita,27/10/1999,85000000140,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 147,Participant 147,Wanita,02/03/1984,85000000147,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 149,Participant 149,Pria,23/04/1995,85000000149,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,No,,,,
Participant 154,Participant 154,Wanita,12/03/1996,85000000154,Vocal - Singer,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 159,Participant 159,Wanita,02/12/1970,85000000159,Vocal - Singer,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 160,Participant 160,Wanita,05/07/1980,85000000160,Vocal - Singer,Madiun,No,No,Yes,Yes,Yes,Yes,,,,
Participant 164,Participant 164,Wanita,29/11/1976,85000000164,Vocal - Singer,Madiun,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 165,Participant 165,Wanita,07/08/1984,85000000165,Vocal - Singer,Madiun,Yes,Yes,Yes,No,No,Yes,,,,
Participant 166,Participant 166,Wanita,01/03/1988,85000000166,Vocal - Singer,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 167,Participant 167,Wanita,01/03/1988,85000000167,Vocal - Singer,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 168,Participant 168,Wanita,12/06/1999,85000000168,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 172,Participant 172,Wanita,22/09/1994,85000000172,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 177,Participant 177,Wanita,05/09/2000,85000000177,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 179,Participant 179,Pria,04/07/2001,85000000179,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 180,Participant 180,Pria,02/10/2000,85000000180,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 181,Participant 181,Pria,31/01/1998,85000000181,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
participant 184,participant 184,Wanita,20/10/1993,85000000184,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 192,Participant 192,Wanita,05/08/1994,85000000192,Vocal - Singer,Jakarta,No,No,Yes,Yes,Yes,No,,,,
Participant 193,Participant 193,Wanita,01/11/1998,85000000193,Vocal - Singer,Bandung,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 196,Participant 196,Wanita,06/08/1996,85000000196,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
participant 200,participant 200,Wanita,02/12/1998,85000000200,Vocal - Singer,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 206,Participant 206,Pria,21/11/2001,85000000206,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
participant 211,participant 211,Wanita,01/05/1964,85000000211,Vocal - Singer,Nias,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 212,Participant 212,Pria,14/05/1993,85000000212,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 224,Participant 224,Wanita,18/01/1992,85000000224,Vocal - Singer,Purwokerto,Yes,Yes,No,Yes,Yes,No,,,,
Participant 225,Participant 225,Wanita,31/10/1980,85000000225,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 226,Participant 226,Pria,13/10/1998,85000000226,Vocal - Singer,Purwokerto,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 227,Participant 227,Wanita,03/11/1999,85000000227,Vocal - Singer,Tangerang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 229,Participant 229,Wanita,10/03/1995,85000000229,Vocal - Singer,Tangerang,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 230,Participant 230,Wanita,07/12/1999,85000000230,Vocal - Singer,Tangerang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 237,Participant 237,Wanita,26/05/1996,85000000237,Vocal - Singer,Pekalongan,Yes,Yes,No,Yes,Yes,No,,,,
PARTICIPANT 242,PARTICIPANT 242,Wanita,30/06/1998,85000000242,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 247,Participant 247,Wanita,03/11/2002,85000000247,Vocal - Singer,Wonogiri,Yes,Yes,No,Yes,Yes,No,,,,
PARTICIPANT 249,PARTICIPANT 249,Wanita,23/02/1971,85000000249,Vocal - Singer,Wonogiri,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 254,Participant 254,Wanita,30/09/1974,85000000254,Vocal - Singer,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 257,PARTICIPANT 257,Pria,16/04/1976,85000000257,Vocal - Singer,Jakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 258,Participant 258,Wanita,14/05/1995,85000000258,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 262,Participant 262,Wanita,18/05/1998,85000000262,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 269,Participant 269,Wanita,14/09/1993,85000000269,Vocal - Singer,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 272,Participant 272,Wanita,04/06/1985,85000000272,Vocal - Singer,Solo,No,Yes,Yes,No,No,Yes,,,,
Participant 274,Participant 274,Pria,13/05/2000,85000000274,Vocal - Singer,Bandung,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 279,Participant 279,Pria,29/11/1989,85000000279,Vocal - Singer,Tangerang,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 287,Participant 287,Wanita,11/11/1977,85000000287,Vocal - Singer,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 290,Participant 290,Wanita,17/08/2002,85000000290,Vocal - Singer,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 291,Participant 291,Pria,27/02/1994,85000000291,Vocal - Singer,Solo ,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 292,Participant 292,Wanita,07/06/1986,85000000292,Vocal - Singer,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 293,Participant 293,Pria,02/03/2002,85000000293,Vocal - Singer,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 295,Participant 295,Wanita,10/10/1993,85000000295,Vocal - Singer,Solo,No,No,Yes,Yes,Yes,Yes,,,,
Participant 302,Participant 302,Wanita,28/09/1993,85000000302,Vocal - Singer,Samarinda,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 305,Participant 305,Wanita,20/01/2004,85000000305,Vocal - Singer,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 308,PARTICIPANT 308,Wanita,29/01/1997,85000000308,Vocal - Singer,Samarinda,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 311,Participant 311,Wanita,09/08/1996,85000000311,Vocal - Singer,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 317,Participant 317,Wanita,01/06/1991,85000000317,Vocal - Singer,Samarinda,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 318,Participant 318,Wanita,06/09/1990,85000000318,Vocal - Singer,Samarinda,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 322,Participant 322,Wanita,26/03/1996,85000000322,Vocal - Singer,Samarinda,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 326,Participant 326,Pria,13/02/1975,85000000326,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 336,Participant 336,Pria,12/10/1981,85000000336,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 337,Participant 337,Wanita,21/11/1994,85000000337,Vocal - Singer,Samarinda,No,No,No,Yes,Yes,Yes,,,,
Participant 339,Participant 339,Pria,18/01/1998,85000000339,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,No,,,,
Participant 343,Participant 343,Wanita,04/07/1997,85000000343,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 346,PARTICIPANT 346,Wanita,18/12/1999,85000000346,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 354,Participant 354,Pria,08/07/1985,85000000354,Vocal - Singer,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 357,Participant 357,Wanita,24/02/1982,85000000357,Vocal - Singer,Madiun,No,No,Yes,Yes,Yes,Yes,,,,
Participant 358,Participant 358,Pria,27/10/1983,85000000358,Vocal - Singer,Boyolali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 359,Participant 359,Wanita,14/12/1989,85000000359,Vocal - Singer,Boyolali,Yes,No,Yes,No,No,Yes,,,,
Participant 371,Participant 371,Wanita,02/01/1989,85000000371,Vocal - Singer,Solo ,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 375,Participant 375,Wanita,30/01/1998,85000000375,Vocal - Singer,Sragen,Yes,Yes,Yes,No,No,Yes,,,,
Participant 378,Participant 378,Wanita,08/08/2001,85000000378,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 379,Participant 379,Wanita,21/10/1976,85000000379,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 380,Participant 380,Wanita,25/03/2003,85000000380,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 383,Participant 383,Wanita,27/03/1982,85000000383,Vocal - Singer,Wonogiri,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 385,Participant 385,Pria,26/07/1996,85000000385,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 387,PARTICIPANT 387,Wanita,15/12/1978,85000000387,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 401,Participant 401,Pria,18/07/1993,85000000401,Vocal - Singer,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 402,Participant 402,Pria,30/08/1996,85000000402,Vocal - Singer,Jakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 404,Participant 404,Wanita,27/12/1988,85000000404,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 405,Participant 405,Wanita,30/06/1980,85000000405,Vocal - Singer,Jakarta,Yes,Yes,Yes,No,No,No,,,,
Participant 407,Participant 407,Pria,21/03/1996,85000000407,Vocal - Singer,Yogyakarta,Yes,Yes,No,No,No,No,,,,
Participant 409,Participant 409,Wanita,02/01/1964,85000000409,Vocal - Singer,Tangerang,Yes,No,Yes,No,No,Yes,,,,
Participant 414,Participant 414,Pria,14/11/1980,85000000414,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 415,Participant 415,Pria,05/11/1996,85000000415,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 417,Participant 417,Pria,17/10/1982,85000000417,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 422,Participant 422,Wanita,05/11/1992,85000000422,Vocal - Singer,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 430,Participant 430,Wanita,09/04/1978,85000000430,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 432,Participant 432,Wanita,28/02/1978,85000000432,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 433,Participant 433,Pria,20/08/1997,85000000433,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 435,Participant 435,Pria,13/10/2000,85000000435,Vocal - Singer,Jakarta,Yes,No,No,Yes,Yes,Yes,,,,
Participant 438,Participant 438,Pria,20/08/1997,85000000438,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 439,Participant 439,"Wanita, Pria",14/10/1975,85000000439,Vocal - Singer,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 444,Participant 444,Wanita,23/04/2001,85000000444,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 445,Participant 445,Wanita,03/11/1978,85000000445,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 446,Participant 446,Pria,16/02/1979,85000000446,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 447,Participant 447,Wanita,28/10/1997,85000000447,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 448,PARTICIPANT 448,Wanita,02/09/1989,85000000448,Vocal - Singer,Bali,No,Yes,Yes,Yes,Yes,Yes,,,,
