FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,CATATAN WALI KELAS,FINAL GRADE,GRADUATION STATUS,
Participant 1610,Participant 1610,Wanita,21/07/1978,85000001610,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1611,Participant 1611,Wanita,20/10/1989,85000001611,Vocal - Singer,Klaten,No,,,,
Participant 1612,Participant 1612,Wanita,23/04/1982,85000001612,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1616,Participant 1616,Wanita,12/08/1986,85000001616,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1620,Participant 1620,Wanita,21/11/1977,85000001620,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1621,Participant 1621,Pria,06/03/1990,85000001621,Vocal - Singer,Klaten,Yes,,A,PASSED,
Participant 1622,Participant 1622,Wanita,27/09/1982,85000001622,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1631,Participant 1631,Wanita,14/11/1974,85000001631,Vocal - Singer,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1632,Participant 1632,Wanita,03/04/2001,85000001632,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1636,Participant 1636,Pria,21/01/1987,85000001636,Vocal - Singer,Klaten,Yes,,A,PASSED,
Participant 1639,Participant 1639,Pria,13/05/1991,85000001639,Vocal - Singer,Madiun,Yes,,B,PASSED,
Participant 1644,Participant 1644,Wanita,13/03/1989,85000001644,Vocal - Singer,Ngawi,Yes,,B,PASSED,
Participant 1645,Participant 1645,Wanita,06/01/2002,85000001645,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1652,Participant 1652,Pria,18/08/1988,85000001652,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 1653,PARTICIPANT 1653,Wanita,01/11/1993,85000001653,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1655,Participant 1655,Pria,20/06/1982,85000001655,Vocal - Singer,Semarang,No,,,,
Participant 1657,Participant 1657,Wanita,11/09/2000,85000001657,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1658,Participant 1658,Wanita,06/09/1991,85000001658,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1661,Participant 1661,Wanita,29/12/1999,85000001661,Vocal - Singer,Ngawi,Yes,,C,PASSED,
Participant 1665,Participant 1665,Wanita,29/12/1994,85000001665,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1672,Participant 1672,Wanita,19/03/1999,85000001672,Vocal - Singer,Solo (Open Class),Yes,,B,PASSED,
Participant 1673,Participant 1673,Wanita,25/08/2006,85000001673,Vocal - Singer,Ngawi,No,,,,
PARTICIPANT 1675,PARTICIPANT 1675,Pria,06/02/1989,85000001675,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1677,Participant 1677,Wanita,19/03/2003,85000001677,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1678,Participant 1678,Wanita,15/09/1999,85000001678,Vocal - Singer,Jakarta (Open Class),No,,,,
Participant 1681,Participant 1681,Wanita,07/06/1999,85000001681,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1682,Participant 1682,Wanita,20/05/2003,85000001682,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1684,Participant 1684,Wanita,23/02/1998,85000001684,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1686,Participant 1686,Wanita,17/01/2000,85000001686,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
PARTICIPANT 1689,PARTICIPANT 1689,Wanita,17/11/1981,85000001689,Vocal - Singer,Solo (Open Class),Yes,,A,PASSED,
Participant 1692,Participant 1692,Pria,20/01/2000,85000001692,Vocal - Singer,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1694,Participant 1694,Wanita,21/08/2000,85000001694,Vocal - Singer,Jakarta (Open Class),No,,,,
Participant 1697,Participant 1697,Pria,29/10/1986,85000001697,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1702,Participant 1702,Wanita,16/03/1985,85000001702,Vocal - Singer,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1704,Participant 1704,Wanita,06/06/1996,85000001704,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1705,Participant 1705,Wanita,01/01/1998,85000001705,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1707,Participant 1707,Pria,17/03/2000,85000001707,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1708,Participant 1708,Pria,14/11/1999,85000001708,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1711,Participant 1711,Wanita,19/12/2005,85000001711,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1712,Participant 1712,Wanita,24/06/2004,85000001712,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1713,Participant 1713,Wanita,07/09/1999,85000001713,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 370,Participant 370,Wanita,07/06/1989,85000000370,Vocal - Singer,Yogyakarta,Yes,,C,PASSED,
Participant 1720,Participant 1720,Wanita,26/05/2004,85000001720,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1726,Participant 1726,Wanita,21/03/1970,85000001726,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1727,Participant 1727,Wanita,29/11/2002,85000001727,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1733,Participant 1733,Pria,22/01/1973,85000001733,Vocal - Singer,Ngawi,Yes,,C,PASSED,
Participant 1735,Participant 1735,Pria,24/02/1987,85000001735,Vocal - Singer,Bandung,No,,,,
Participant 1736,Participant 1736,Wanita,23/03/1999,85000001736,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
participant 1738,participant 1738,Wanita,05/09/1971,85000001738,Vocal - Singer,Ngawi,Yes,,C,PASSED,
Participant 1739,Participant 1739,Wanita,01/01/1984,85000001739,Vocal - Singer,Ngawi,No,,,,
Participant 1745,Participant 1745,Pria,17/06/1991,85000001745,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1746,Participant 1746,Wanita,17/11/2002,85000001746,Vocal - Singer,Tangerang,No,,,,
Participant 1748,Participant 1748,Wanita,06/09/1991,85000001748,Vocal - Singer,Samarinda,Yes,,B,PASSED,
Participant 1754,Participant 1754,Wanita,04/01/1981,85000001754,Vocal - Singer,Ngawi,Yes,,A,PASSED,
Participant 1755,Participant 1755,Wanita,29/10/2003,85000001755,Vocal - Singer,Tangerang,Yes,,A,PASSED,
Participant 1757,Participant 1757,Pria,07/10/1998,85000001757,Vocal - Singer,Solo (Open Class),Yes,,B,PASSED,
Participant 1759,Participant 1759,Wanita,29/05/1999,85000001759,Vocal - Singer,Bandung,No,,,,
Participant 1765,Participant 1765,Wanita,23/05/2001,85000001765,Vocal - Singer,Klaten,Yes,,A,PASSED,
Participant 1766,Participant 1766,Wanita,18/07/1990,85000001766,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1767,Participant 1767,Wanita,22/05/1988,85000001767,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1773,Participant 1773,Wanita,12/07/1984,85000001773,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1774,Participant 1774,Pria,23/10/1996,85000001774,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1780,Participant 1780,Pria,29/12/2005,85000001780,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1782,Participant 1782,Wanita,10/05/1989,85000001782,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1784,Participant 1784,Wanita,05/08/2006,85000001784,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1785,Participant 1785,Pria,16/08/1997,85000001785,Vocal - Singer,Solo (Open Class),No,,,,
Participant 469,Participant 469,Pria,31/08/1988,85000000469,Vocal - Singer,Madiun,Yes,,C,PASSED,
Participant 1797,Participant 1797,Wanita,20/05/2000,85000001797,Vocal - Singer,Tangerang,Yes,,C,PASSED,
Participant 1801,Participant 1801,Wanita,05/12/1997,85000001801,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1803,Participant 1803,Pria,26/01/1986,85000001803,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 495,Participant 495,Wanita,28/10/1976,85000000495,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 508,Participant 508,Wanita,30/11/1991,85000000508,Vocal - Singer,Bali,No,,,,
Participant 523,Participant 523,Wanita,26/01/1997,85000000523,Vocal - Singer,Solo,Yes,,C,PASSED,
Participant 1809,Participant 1809,Wanita,09/01/1989,85000001809,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1812,Participant 1812,Pria,10/07/1996,85000001812,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1813,Participant 1813,Pria,11/04/1987,85000001813,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1822,Participant 1822,Pria,13/03/1969,85000001822,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1823,Participant 1823,Wanita,05/12/2000,85000001823,Vocal - Singer,Yogyakarta (Open Class),Yes,,A,PASSED,
participant 1825,participant 1825,Wanita,13/03/1992,85000001825,Vocal - Singer,Magelang,Yes,,A,PASSED,
Participant 1827,Participant 1827,Wanita,12/04/1999,85000001827,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
PARTICIPANT 1828,PARTICIPANT 1828,Wanita,01/10/2000,85000001828,Vocal - Singer,Malang,Yes,,A,PASSED,
Participant 679,Participant 679,Wanita,22/12/1992,85000000679,Vocal - Singer,Tangerang,No,,,,
Participant 79,Participant 79,Pria,01/09/1996,85000000079,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 89,Participant 89,Wanita,12/09/1975,85000000089,Vocal - Singer,Solo,Yes,,B,PASSED,
