FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,PERUBAHAN,,,
Participant 2766,Participant 2766,Pria,14/05/1993,85000002766,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2767,Participant 2767,Wanita,12/10/1994,85000002767,Vocal - Lead,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2769,Participant 2769,Wanita,19/04/1985,85000002769,Vocal - Lead,Yogyakarta,Yes,No,No,Yes,No,Yes,,,,
Participant 2774,Participant 2774,Wanita,15/03/1981,85000002774,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2775,Participant 2775,Wanita,30/12/1991,85000002775,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2795,Participant 2795,Wanita,04/09/1998,85000002795,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1353,Participant 1353,Wanita,14/10/1977,85000001353,Vocal - Lead,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1354,Participant 1354,Pria,26/03/2005,85000001354,Vocal - Lead,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 264,Participant 264,Wanita,17/08/1980,85000000264,Vocal - Lead,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 2815,Participant 2815,Wanita,25/12/1985,85000002815,Vocal - Lead,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 1365,Participant 1365,Wanita,04/10/1991,85000001365,Vocal - Lead,Yogyakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1018,PARTICIPANT 1018,Wanita,04/06/1985,85000001018,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1097,PARTICIPANT 1097,Pria,23/11/1977,85000001097,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2584,Participant 2584,Wanita,17/09/1999,85000002584,Vocal - Choir,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2604,Participant 2604,Wanita,31/07/1998,85000002604,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2610,Participant 2610,Wanita,24/01/1998,85000002610,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2616,Participant 2616,Pria,28/10/1996,85000002616,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2641,Participant 2641,Wanita,16/04/1984,85000002641,Vocal - Choir,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2710,Participant 2710,Wanita,17/02/1991,85000002710,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,No,Yes,No,,,,
Participant 910,Participant 910,Wanita,01/08/1998,85000000910,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 925,Participant 925,Wanita,08/08/2001,85000000925,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 934,Participant 934,Wanita,04/03/1998,85000000934,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 955,Participant 955,Wanita,22/12/2000,85000000955,Vocal - Choir,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1055,Participant 1055,Wanita,27/03/1989,85000001055,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1067,Participant 1067,Wanita,01/08/1980,85000001067,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1245,Participant 1245,Wanita,29/06/1999,85000001245,Vocal - Choir,Yogyakarta (Open Class),No,Yes,No,Yes,No,Yes,,,,
Participant 1255,Participant 1255,Wanita,30/10/1978,85000001255,Vocal - Choir,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1265,Participant 1265,Wanita,24/12/1980,85000001265,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2480,PARTICIPANT 2480,Wanita,20/07/1982,85000002480,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1290,Participant 1290,Wanita,03/11/2002,85000001290,Vocal - Choir,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2745,Participant 2745,Wanita,15/06/2001,85000002745,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2802,Participant 2802,Wanita,05/10/1992,85000002802,Vocal - Choir,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1359,Participant 1359,Wanita,22/08/1979,85000001359,Vocal - Choir,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2812,Participant 2812,Wanita,16/02/1996,85000002812,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 265,Participant 265,Pria,28/07/1986,85000000265,Vocal - Choir,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 427,Participant 427,Wanita,07/07/1983,85000000427,Vocal - Choir,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1068,Participant 1068,Wanita,07/02/1986,85000001068,Vocal - Singer,Jakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1078,Participant 1078,Wanita,18/12/2004,85000001078,Vocal - Singer,Solo (Open Class),Yes,No,Yes,No,Yes,Yes,,,,
Participant 136,Participant 136,Wanita,02/03/1977,85000000136,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2559,Participant 2559,Wanita,10/04/1996,85000002559,Vocal - Singer,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 966,Participant 966,Wanita,18/11/1991,85000000966,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2564,Participant 2564,Pria,23/03/1990,85000002564,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2568,Participant 2568,Wanita,13/05/1998,85000002568,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,No,Yes,,,,
Participant 2577,Participant 2577,Wanita,05/02/1995,85000002577,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2578,Participant 2578,Wanita,10/11/1994,85000002578,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2581,Participant 2581,Wanita,25/10/1994,85000002581,Vocal - Singer,Yogyakarta,Yes,Yes,No,No,No,Yes,,,,
Participant 2588,Participant 2588,Wanita,19/02/1990,85000002588,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2589,Participant 2589,Wanita,22/09/1997,85000002589,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2593,Participant 2593,Wanita,29/11/1997,85000002593,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,No,,,,
Participant 2594,Participant 2594,Wanita,06/04/1999,85000002594,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2597,Participant 2597,Wanita,14/12/1974,85000002597,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2598,Participant 2598,Pria,07/12/1996,85000002598,Vocal - Singer,Yogyakarta,No,No,Yes,Yes,No,Yes,,,,
Participant 2600,Participant 2600,Pria,12/06/1989,85000002600,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2601,Participant 2601,Pria,14/05/1992,85000002601,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2603,Participant 2603,Wanita,06/04/1995,85000002603,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2606,Participant 2606,Wanita,06/04/1993,85000002606,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2609,Participant 2609,Wanita,11/08/1997,85000002609,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2618,Participant 2618,Wanita,29/10/1995,85000002618,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,,
Participant 2619,Participant 2619,Pria,12/08/1997,85000002619,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2620,Participant 2620,Wanita,25/01/1998,85000002620,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
participant 2624,participant 2624,Wanita,03/03/1998,85000002624,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2631,Participant 2631,Wanita,19/03/1997,85000002631,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2633,Participant 2633,Wanita,15/11/1995,85000002633,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2634,Participant 2634,Wanita,14/08/1996,85000002634,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,No,No,,,,
Participant 2637,Participant 2637,Wanita,17/10/1993,85000002637,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2644,Participant 2644,Wanita,04/06/2000,85000002644,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2645,Participant 2645,Wanita,20/02/1994,85000002645,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,No,No,,,,
Participant 2646,Participant 2646,Wanita,02/07/1997,85000002646,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2647,Participant 2647,Wanita,02/05/2002,85000002647,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
participant 2648,participant 2648,Pria,05/03/1997,85000002648,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 2649,participant 2649,Wanita,04/06/2000,85000002649,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
participant 2650,participant 2650,Wanita,28/05/2001,85000002650,Vocal - Singer,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 2651,Participant 2651,Pria,24/08/1992,85000002651,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2652,Participant 2652,Wanita,24/05/1996,85000002652,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2654,Participant 2654,Wanita,12/11/1993,85000002654,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2657,Participant 2657,Pria,30/06/1998,85000002657,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2660,Participant 2660,Wanita,11/06/1996,85000002660,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 2661,participant 2661,Wanita,19/07/1979,85000002661,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2665,Participant 2665,Pria,04/12/1998,85000002665,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2666,Participant 2666,Pria,16/12/1986,85000002666,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2669,PARTICIPANT 2669,Wanita,25/10/1992,85000002669,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2673,Participant 2673,Wanita,14/02/1984,85000002673,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2675,Participant 2675,Wanita,07/05/1973,85000002675,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
participant 2678,participant 2678,Pria,23/04/1987,85000002678,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2686,Participant 2686,Wanita,17/12/1975,85000002686,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
participant 905,participant 905,Wanita,01/12/1997,85000000905,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2690,Participant 2690,Pria,07/11/1989,85000002690,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2692,Participant 2692,Wanita,30/04/1998,85000002692,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,No,Yes,,,,
Participant 2700,Participant 2700,Pria,19/01/1999,85000002700,Vocal - Singer,Yogyakarta,Yes,No,No,Yes,Yes,No,,,,
Participant 2702,Participant 2702,Wanita,19/05/1993,85000002702,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2705,Participant 2705,Wanita,23/08/1995,85000002705,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2707,Participant 2707,Wanita,20/05/2001,85000002707,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2711,Participant 2711,Wanita,21/10/1995,85000002711,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 869,Participant 869,Pria,06/09/2005,85000000869,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,No,No,,,,
Participant 871,Participant 871,Wanita,22/06/1992,85000000871,Vocal - Singer,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
participant 879,participant 879,Wanita,15/02/1985,85000000879,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 881,Participant 881,Pria,25/09/2002,85000000881,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 884,Participant 884,Wanita,02/05/1984,85000000884,Vocal - Singer,Solo  (Open Class),Yes,Yes,No,No,No,Yes,,,,
Participant 886,Participant 886,Pria,24/04/1986,85000000886,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 887,Participant 887,Wanita,08/08/1986,85000000887,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 895,PARTICIPANT 895,Wanita,03/11/1984,85000000895,Vocal - Singer,WoNot Completedsari,Yes,Yes,No,Yes,Yes,Yes,,,,
PARTICIPANT 896,PARTICIPANT 896,Pria,24/02/1992,85000000896,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 897,Participant 897,Wanita,30/09/2004,85000000897,Vocal - Singer,Solo (Open Class),No,Yes,No,Yes,Yes,Yes,,,,
Participant 898,Participant 898,Wanita,05/11/1979,85000000898,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 899,Participant 899,Pria,04/04/2003,85000000899,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 904,Participant 904,Pria,04/06/1981,85000000904,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 906,Participant 906,Wanita,24/09/1996,85000000906,Vocal - Singer,Jakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 908,Participant 908,Wanita,03/10/1991,85000000908,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,No,,,,
Participant 911,Participant 911,Pria,12/03/1982,85000000911,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 926,Participant 926,Pria,02/06/2001,85000000926,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 927,Participant 927,Wanita,10/04/1996,85000000927,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 928,Participant 928,Wanita,07/10/1997,85000000928,Vocal - Singer,Yogyakarta (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 929,Participant 929,Wanita,17/07/1981,85000000929,Vocal - Singer,Bali,Yes,Yes,No,No,Yes,Yes,,,,
Participant 932,Participant 932,Pria,05/07/2005,85000000932,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,No,,,,
PARTICIPANT 935,PARTICIPANT 935,Pria,10/10/1993,85000000935,Vocal - Singer,Solo  (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 942,Participant 942,Wanita,30/12/1971,85000000942,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 943,Participant 943,Wanita,03/11/1988,85000000943,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 948,Participant 948,Wanita,01/06/2002,85000000948,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 949,Participant 949,Wanita,06/07/2005,85000000949,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 951,Participant 951,Wanita,24/02/1991,85000000951,Vocal - Singer,Solo  (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 953,Participant 953,Wanita,27/11/2003,85000000953,Vocal - Singer,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 963,Participant 963,Pria,25/03/1986,85000000963,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 964,Participant 964,Wanita,07/04/1998,85000000964,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 970,Participant 970,Wanita,20/11/1999,85000000970,Vocal - Singer,Yogyakarta (Open Class),No,Yes,Yes,No,No,No,,,,
Participant 972,Participant 972,Pria,27/06/1979,85000000972,Vocal - Singer,Surabaya,No,Yes,Yes,Yes,No,Yes,,,,
Participant 973,Participant 973,Wanita,29/09/1978,85000000973,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 974,Participant 974,Wanita,16/07/1993,85000000974,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 978,Participant 978,Pria,05/05/1983,85000000978,Vocal - Singer,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
participant 979,participant 979,Wanita,27/08/2000,85000000979,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 981,participant 981,Wanita,15/02/1994,85000000981,Vocal - Singer,Yogyakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 982,Participant 982,Wanita,25/08/1999,85000000982,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 983,Participant 983,Wanita,21/08/2001,85000000983,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 986,Participant 986,Wanita,19/05/1980,85000000986,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 988,Participant 988,Wanita,05/09/1987,85000000988,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 989,Participant 989,Wanita,08/10/2000,85000000989,Vocal - Singer,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 991,PARTICIPANT 991,Wanita,23/11/1993,85000000991,Vocal - Singer,Jakarta (Open Class),Yes,Yes,No,Yes,No,Yes,,,,
Participant 994,Participant 994,Wanita,04/03/1997,85000000994,Vocal - Singer,Jakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 996,Participant 996,Pria,16/08/1990,85000000996,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 997,Participant 997,Wanita,29/10/1996,85000000997,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1001,Participant 1001,Wanita,12/01/1994,85000001001,Vocal - Singer,Jakarta (Open Class),Yes,Yes,No,Yes,No,Yes,,,,
Participant 1003,Participant 1003,Wanita,06/08/1992,85000001003,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1004,Participant 1004,Wanita,14/05/1997,85000001004,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1012,Participant 1012,Pria,04/09/1992,85000001012,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 1019,PARTICIPANT 1019,Wanita,26/04/1996,85000001019,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1024,Participant 1024,Wanita,28/04/1994,85000001024,Vocal - Singer,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1027,Participant 1027,Wanita,28/07/1990,85000001027,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1028,Participant 1028,Pria,26/06/2004,85000001028,Vocal - Singer,Surabaya,No,No,Yes,No,Yes,Yes,,,,
Participant 1030,Participant 1030,Wanita,06/10/1989,85000001030,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1035,Participant 1035,Wanita,22/12/1989,85000001035,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1048,Participant 1048,Wanita,16/06/1984,85000001048,Vocal - Singer,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1050,Participant 1050,Pria,18/04/1997,85000001050,Vocal - Singer,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1053,Participant 1053,Pria,16/09/1974,85000001053,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1057,Participant 1057,Wanita,27/11/2003,85000001057,Vocal - Singer,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1060,Participant 1060,Wanita,10/09/2001,85000001060,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1063,Participant 1063,Wanita,20/07/1999,85000001063,Vocal - Singer,Yogyakarta (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 1064,Participant 1064,Wanita,01/05/2000,85000001064,Vocal - Singer,Yogyakarta (Open Class),No,Yes,Yes,No,Yes,Yes,,,,
Participant 1069,Participant 1069,Wanita,17/02/2003,85000001069,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1070,Participant 1070,Wanita,21/04/2000,85000001070,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1077,Participant 1077,Pria,01/12/1993,85000001077,Vocal - Singer,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1088,Participant 1088,Pria,14/06/1999,85000001088,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1089,Participant 1089,Wanita,11/06/1979,85000001089,Vocal - Singer,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1092,Participant 1092,Wanita,01/11/1993,85000001092,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1093,Participant 1093,Pria,19/08/1971,85000001093,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1104,Participant 1104,Wanita,13/07/2001,85000001104,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1108,Participant 1108,Wanita,22/10/2002,85000001108,Vocal - Singer,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1110,Participant 1110,Wanita,20/06/1999,85000001110,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1111,Participant 1111,Wanita,03/11/2001,85000001111,Vocal - Singer,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,No,,,,
Participant 1113,Participant 1113,Wanita,10/03/1992,85000001113,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1114,Participant 1114,Wanita,28/05/1999,85000001114,Vocal - Singer,Solo  (Open Class),Yes,Yes,Yes,Yes,No,No,,,,
Participant 1115,Participant 1115,Wanita,12/10/1984,85000001115,Vocal - Singer,Surabaya,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1116,Participant 1116,Wanita,13/01/1990,85000001116,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1117,Participant 1117,Wanita,30/07/1981,85000001117,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1118,Participant 1118,Pria,01/02/1993,85000001118,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1129,Participant 1129,Pria,12/05/2000,85000001129,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1134,Participant 1134,Pria,22/12/1976,85000001134,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1136,Participant 1136,Wanita,06/12/1986,85000001136,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1138,Participant 1138,Wanita,23/06/1979,85000001138,Vocal - Singer,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1144,Participant 1144,Wanita,17/06/1982,85000001144,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1145,Participant 1145,Wanita,05/02/1983,85000001145,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1149,Participant 1149,Wanita,18/11/1991,85000001149,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1150,Participant 1150,Wanita,17/10/2003,85000001150,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1153,Participant 1153,Wanita,11/12/1977,85000001153,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1154,Participant 1154,Wanita,12/11/1998,85000001154,Vocal - Singer,Magelang,Yes,Yes,Yes,No,Yes,No,,,,
Participant 1157,Participant 1157,Wanita,23/10/1986,85000001157,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1162,Participant 1162,Wanita,06/04/1991,85000001162,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1163,Participant 1163,Wanita,04/10/1992,85000001163,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
